,id_dato,v_diodo_garita,v_bateria_garita,lux,mag_viento,dir_viento,hum,lluvia,temp,presion,adc0,adc1,adc2,fecha
0,23723,184,1023,11,0.44,335.66,89.4,195,14.49,551.47,4120,4120,4120,2024-12-08 00:00:34
1,23724,185,1023,11,0.0,335.66,89.3,195,14.46,551.5,4120,4120,4120,2024-12-08 00:05:57
2,23725,184,1023,11,0.0,335.66,89.2,195,14.41,551.49,4092,4092,4092,2024-12-08 00:11:20
3,23726,184,1023,11,0.85,335.66,89.7,195,14.5,551.45,4120,4120,4120,2024-12-08 00:16:42
4,23727,185,1023,11,0.0,335.66,89.7,195,14.49,551.44,4092,4092,4092,2024-12-08 00:22:05
5,23728,185,1023,11,0.0,335.66,90.4,195,14.03,551.45,4092,4092,4092,2024-12-08 00:27:28
6,23729,185,1023,11,0.88,271.02,90.8,195,13.87,551.41,4114,4114,4114,2024-12-08 00:32:51
7,23730,185,1023,11,4.97,270.91,89.2,195,14.19,551.36,4092,4092,4092,2024-12-08 00:38:14
8,23731,185,1023,11,0.53,270.91,88.4,195,14.36,551.33,4087,4087,4087,2024-12-08 00:43:37
9,23732,185,1023,11,0.0,270.91,88.9,195,14.24,551.25,4092,4092,4092,2024-12-08 00:49:00
10,23733,185,1023,12,0.0,270.91,88.8,195,14.16,551.24,4109,4109,4109,2024-12-08 00:54:22
11,23734,185,1023,12,0.0,270.91,89.4,195,13.72,551.26,4092,4092,4092,2024-12-08 00:59:45
12,23735,185,1023,12,0.0,157.5,89.9,195,13.73,551.26,4114,4114,4114,2024-12-08 01:05:08
13,23736,185,1023,12,0.0,157.5,89.3,195,13.69,551.33,4114,4114,4114,2024-12-08 01:10:31
14,23737,185,1023,12,0.0,157.5,89.4,195,13.94,551.38,4092,4092,4092,2024-12-08 01:15:54
15,23738,185,1023,12,0.0,157.5,89.8,195,13.84,551.39,4092,4092,4092,2024-12-08 01:21:17
16,23739,185,1023,12,0.0,157.5,89.5,195,13.79,551.36,4114,4114,4114,2024-12-08 01:26:40
17,23740,186,1023,12,0.0,157.5,89.7,195,13.73,551.34,4109,4109,4109,2024-12-08 01:32:03
18,23741,186,1023,12,0.0,157.5,89.8,195,13.79,551.34,4049,4049,4049,2024-12-08 01:37:26
19,23742,185,1023,12,0.0,157.5,89.9,195,13.74,551.34,4087,4087,4087,2024-12-08 01:42:49
20,23743,186,1023,12,0.0,157.5,89.8,195,13.83,551.37,4087,4087,4087,2024-12-08 01:48:12
21,23744,185,1023,12,0.27,153.9,89.3,195,14.04,551.34,4109,4109,4109,2024-12-08 01:53:35
